,year_make_model,price,condition,cylinders,drive,fuel,odometer,paint color,size,title status,transmission,type,url,VIN,make,model,year,generation
146,2010 Honda Odyssey Touring Wheelchair Van,29995.0,,6 cylinders,fwd,gas,60512,black,,clean,automatic,mini-van,https://denver.craigslist.org/ctd/d/laguna-woods-2010-honda-odyssey-touring/7590864133.html,5FNRL3H97AB077759,HONDA,Odyssey,2010,3.5
98,2003 Ford Ranger Edge Plus,12999.0,,6 cylinders,4wd,gas,151248,,,clean,automatic,truck,https://denver.craigslist.org/ctd/d/longmont-2003-ford-ranger-4x4-4wd-edge/7590856440.html,1FTZR45E13PA82857,FORD,Ranger,2003,3.5
210,2011 Honda CR-V EX-L awd,11999.0,excellent,4 cylinders,4wd,gas,161967,,,clean,automatic,SUV,https://denver.craigslist.org/ctd/d/denver-2011-honda-cr-ex-lawd-6k-new/7590835511.html,5J6RE4H52BL102069,HONDA,CR-V,2011,3.5
238,2012 toyota rav4 awd,13999.0,excellent,4 cylinders,4wd,gas,101189,,,clean,automatic,SUV,https://denver.craigslist.org/ctd/d/denver-2012-toyota-rav4-baseclean/7590700143.html,2T3BF4DV2CW187732,TOYOTA,RAV4,2012,3.5
123,2022 dodge challenger,35988.0,,,,other,12003,,,clean,automatic,,https://denver.craigslist.org/ctd/d/colorado-springs-2022-dodge-challenger/7590861432.html,2C3CDZJG8NH132402,DODGE,Challenger,2022,3.5
153,Toyota Sienna,68900.0,,6 cylinders,fwd,gas,29577,silver,,clean,automatic,van,https://denver.craigslist.org/ctd/d/denver-2020-toyota-sienna-xle-premium/7590864599.html,5TDYZ3DC8LS047440,TOYOTA,Sienna,2020,3.75
16,2012 Jeep Grand Cherokee Laredo,12799.0,excellent,6 cylinders,4wd,gas,115782,,,,automatic,SUV,https://denver.craigslist.org/ctd/d/golden-2012-jeep-grand-cherokee-laredo/7590910861.html,1C4RJFAG3CC148620,JEEP,Grand Cherokee,2012,4.0
375,2015 Ford Transit Cargo Van,23998.0,good,6 cylinders,rwd,gas,135081,white,mid-size,clean,automatic,van,https://denver.craigslist.org/ctd/d/denver-2015-ford-transit-cargo-van-med/7590261525.html,1FTNR2CM2FKA73728,FORD,Transit,2015,4.0
239,2012 honda crv ex-l awd,11999.0,excellent,6 cylinders,4wd,gas,169471,,,clean,automatic,SUV,https://denver.craigslist.org/ctd/d/denver-2012-honda-cr-ex-lnew-side-ball/7590700206.html,2HKRM4H78CH613866,HONDA,CR-V,2012,4.0
277,2016 mercedes-benz c450 amg 4matic,26995.0,excellent,6 cylinders,4wd,gas,81008,,,clean,automatic,sedan,https://denver.craigslist.org/ctd/d/englewood-2016-mercedes-c450-amg-awd/7590644016.html,55SWF6EB9GU134098,MERCEDES-BENZ,C-Class,2016,4.0
224,2018 Ford Transit Van,24998.0,good,6 cylinders,rwd,gas,137204,white,mid-size,clean,automatic,van,https://denver.craigslist.org/ctd/d/denver-2018-ford-transit-van-low-rf/7590841754.html,1FTYE9ZM4JKA56463,FORD,Transit,2018,4.0
386,2014 Audi A6 20T quattro Premium,298.0,excellent,4 cylinders,4wd,gas,111556,,,,automatic,other,https://denver.craigslist.org/ctd/d/denver-2014-audi-a6-6-6-20t-20-20/7590270819.html,WAUGFAFC8EN151258,AUDI,A6,2014,4.0
20,2005 Toyota 4Runner Limited,11999.0,,8 cylinders,4wd,gas,279009,,,clean,automatic,SUV,https://denver.craigslist.org/ctd/d/longmont-2005-toyota-4runner-4x4-4wd/7590913274.html,JTEBT17R458026129,TOYOTA,4-Runner,2005,4.0
367,2007 Ford E250 Super Duty Cargo,11995.0,,8 cylinders,rwd,gas,131827,white,,clean,automatic,other,https://denver.craigslist.org/ctd/d/denver-2007-ford-e250-super-duty-cargo/7590695421.html,1FTNE24L57DA70975,FORD,E-250,2007,4.0
237,2005 subaru legacy 2.5 gt limited AWD,6999.0,excellent,4 cylinders,4wd,gas,175037,,,clean,automatic,sedan,https://denver.craigslist.org/ctd/d/denver-2005-subaru-legacy-25-gt/7590700124.html,4S3BL676954229158,SUBARU,Legacy,2005,4.0
220,2016 nissan pathfinder,9988.0,,,,other,197395,,,clean,automatic,,https://denver.craigslist.org/ctd/d/colorado-springs-2016-nissan-pathfinder/7590838700.html,5N1AR2MM3GC620655,NISSAN,Pathfinder,2016,4.0
147,2020 Chevrolet Tahoe LT,25299.0,excellent,8 cylinders,4wd,gas,163646,,,clean,automatic,SUV,https://denver.craigslist.org/ctd/d/littleton-2020-chevrolet-tahoe-lt/7590864291.html,1GNSKBKC7LR206249,CHEVROLET,Tahoe,2020,4.0
385,2016 Toyota Prius,19988.0,,4 cylinders,fwd,hybrid,91730,grey,,clean,automatic,sedan,https://denver.craigslist.org/ctd/d/denver-2016-toyota-prius/7590270654.html,JTDKARFU6G3509250,TOYOTA,PRIUS,2016,4.0
46,2016 Mercedes-Benz C Class,24988.0,,4 cylinders,4wd,gas,91219,grey,,clean,automatic,sedan,https://denver.craigslist.org/ctd/d/denver-2016-mercedes-benz-class-c300/7590933325.html,55SWF4KB1GU097959,MERCEDES-BENZ,C-Class,2016,4.0
76,2018 GMC Yukon,42999.0,excellent,,4wd,gas,67776,black,,clean,automatic,SUV,https://denver.craigslist.org/ctd/d/englewood-2018-gmc-yukon-denali-4wd-with/7590944193.html,1GKS2CKJ4JR213612,GMC,Yukon,2018,4.0
279,2007 toyota 4runner limited,10995.0,excellent,8 cylinders,4wd,gas,207163,,,clean,automatic,SUV,https://denver.craigslist.org/ctd/d/englewood-2007-toyota-4runner-limited/7590644599.html,JTEBT17R978039591,TOYOTA,4-Runner,2007,4.0
207,2012 Audi A4,15988.0,,4 cylinders,4wd,gas,71765,blue,,clean,other,sedan,https://denver.craigslist.org/ctd/d/denver-2012-audi-a4-premium-plusawd/7590834475.html,WAUFFAFL8CN011039,AUDI,A4,2012,4.0
336,2014 Land Rover Range Rover Supercharged,49900.0,,8 cylinders,4wd,gas,32762,white,,clean,automatic,SUV,https://denver.craigslist.org/ctd/d/gladstone-2014-land-rover-50l-v8/7590664103.html,SALGS2TF9EA173966,LAND ROVER,Range Rover,2014,4.0
211,2016 Nissan Pathfinder,18999.0,,6 cylinders,4wd,gas,102632,grey,mid-size,clean,other,SUV,https://denver.craigslist.org/ctd/d/longmont-2016-nissan-pathfinder/7590835668.html,5N1AR2MM1GC626082,NISSAN,Pathfinder,2016,4.0
377,2018 Ford Transit Van,33998.0,good,6 cylinders,rwd,gas,78053,white,mid-size,clean,automatic,van,https://denver.craigslist.org/ctd/d/denver-2018-ford-transit-van-med-rf/7590261545.html,1FTYR2CG1JKB46264,FORD,Transit,2018,4.0
366,2018 Kia Optima,16900.0,,4 cylinders,fwd,gas,22917,custom,,clean,automatic,sedan,https://denver.craigslist.org/ctd/d/denver-2018-kia-optima/7590695417.html,5XXGT4L32JG180133,KIA,Optima,2018,4.0
322,2013 Lexus GS 350 AWD,16500.0,good,6 cylinders,4wd,gas,127500,black,mid-size,clean,automatic,sedan,https://denver.craigslist.org/cto/d/englewood-2013-lexus-gs-350-awd/7590653448.html,JTHCE1BL5D5004905,LEXUS,GS,2013,4.0
431,2012 HONDA CR-V,15999.0,,,4wd,gas,110130,green,,clean,automatic,SUV,https://denver.craigslist.org/ctd/d/denver-2012-honda-cr-ex-awd-4dr-suv/7590293777.html,2HKRM4H70CH624425,HONDA,CR-V,2012,4.0
276,2012 subaru outback,7995.0,excellent,4 cylinders,4wd,gas,144223,,,clean,automatic,,https://denver.craigslist.org/ctd/d/englewood-2012-subaru-outback-25i-awd/7590643911.html,4S4BRBCC9C3279611,SUBARU,Outback,2012,4.0
95,2016 Honda Odyssey SE Wheelchair Vans,39995.0,,6 cylinders,fwd,gas,64159,silver,,clean,automatic,mini-van,https://denver.craigslist.org/ctd/d/laguna-woods-2016-honda-odyssey-se/7590855922.html,5FNRL5H37GB046169,HONDA,Odyssey,2016,4.5
129,2014 Honda Odyssey EX-L Wheelchair Van,35995.0,,6 cylinders,fwd,gas,88784,black,,clean,automatic,mini-van,https://denver.craigslist.org/ctd/d/laguna-woods-2014-honda-odyssey-ex/7590862029.html,5FNRL5H60EB093406,HONDA,Odyssey,2014,4.5
263,2013 Ram Ram Pickup 1500 Express,16099.0,excellent,8 cylinders,4wd,gas,177505,,,,automatic,truck,https://denver.craigslist.org/ctd/d/golden-2013-ram-ram-pickup-1500-express/7590641624.html,1C6RR7KT0DS670856,RAM,1500,2013,4.5
